Year,2009.0
group,0.07787672405486194
bank,0.07010356098832081
responsibility,0.06993762289763293
social,0.06917210134817814
environmental,0.06741921978715315
environment,0.056180727746923266
corporate,0.052539469290236944
company,0.050442781429052466
development,0.04535713802372058
business,0.04181024758158184
production,0.04089345307868444
employees,0.04041917600404138
report,0.03864100677655233
activities,0.03673634820306037
csr,0.036006166553556915
safety,0.033247886014144454
consumption,0.031141911406459603
work,0.03027395587501691
local,0.029432525298970214
management,0.029175523308186038
working,0.0289052227105116
policy,0.028399069538352938
annual,0.028146858106878597
health,0.027147943590068863
impact,0.026933678945693096
energy,0.026592849276221634
suppliers,0.025551887475152458
number,0.023685043311921967
areas,0.022896828270859777
initiatives,0.022657179022660394
well,0.022598324620399114
projects,0.022355275133045385
emissions,0.022305885866211725
cr,0.021393524011276886
standards,0.021212717828431895
waste,0.02107916845517917
quality,0.02103821991969742
accidents,0.020998969527867846
part,0.0208450850902795
employee,0.020486725759999096
years,0.020400040895822487
products,0.01991350243455146
ensure,0.0184436848105258
statement,0.01835932684859014
external,0.018219023827473653
review,0.018185886603603273
financial,0.01803783534593437
customers,0.018027116272173203
efforts,0.018024439768559435
year,0.017970939656053692
focus,0.01787143244744745
co,0.017714169443859458
strategy,0.017506878941707448
individual,0.017220123929447967
connection,0.017207323979732857
caused,0.017088652388433784
new,0.01708196918811788
conditions,0.017001232252247696
basis,0.016938926826587195
environmentally,0.01690531301264129
absence,0.016896179604967143
based,0.01665014997372685
danish,0.016573961505533558
area,0.016558504522943173
partners,0.016367975241471277
www,0.01634081231916637
water,0.016238637933180297
denmark,0.016116943253366267
risks,0.01604974265897873
staff,0.015533238998097517
principles,0.01550295251984603
requirements,0.015394946237726394
board,0.015219677005601073
guidelines,0.015070195365076552
information,0.014718477716144714
foundation,0.014637835838566598
conduct,0.014633620951598689
good,0.014623754851709251
respect,0.014570048347102883
legislation,0.014512131850316438
international,0.014381583787411892
community,0.014377690590163344
total,0.014150642666845365
remuneration,0.014112734649592033
therefore,0.014041257999742577
general,0.014018962007967007
continuously,0.014009570514694796
directors,0.013986938067680164
time,0.013985716273158408
mainly,0.013868614828786187
important,0.013796340498333356
code,0.013759144735039879
high,0.013682725163378399
procedures,0.013660860154299903
resources,0.013548934720517422
tankers,0.013518827006583732
insignificant,0.013421770062210061
involvement,0.013415000544988261
performance,0.013384388783079782
firstfarms,0.01337878631419898
standard,0.013301900664479218
research,0.013236122495807169
heating,0.013230519388827147
global,0.013163468076098039
fo,0.013153292614405529
iso,0.013132280906399847
materials,0.01311832970832724
process,0.01288872231290236
ships,0.012809069943753717
fiber,0.012783420429774331
occupational,0.012773681723740087
operates,0.01276811896498913
regulations,0.01271400013686165
impacts,0.012642698343998506
use,0.012628934915741057
accounting,0.012620982270339597
reduce,0.012592603860407663
businesses,0.012589184948118568
sustainable,0.012587243137309821
values,0.012511073288803675
active,0.012494470570405074
human,0.012411079276583432
sports,0.012362258990050072
used,0.012326100664688665
distribution,0.012244967788811975
facilities,0.012232545053340664
principle,0.012191837765052801
ethical,0.012142525872949042
limited,0.012076219431311064
shareholders,0.01203061761695539
form,0.011990335644920993
control,0.011987367794053398
according,0.0119453073061919
countries,0.011902510889981174
construction,0.011881464139842512
governance,0.011841138397921754
emission,0.01177969051828743
ethics,0.011746972670720512
policies,0.011743723472291216
long,0.011688896655325716
relation,0.011531661020719374
communities,0.011509375095278497
un,0.01150282775792326
sustainability,0.011494292171771555
operation,0.011438064894755103
raw,0.011369581771819747
issues,0.01133420314587267
hours,0.011308347397287631
addition,0.011242081290860762
material,0.011190239139296423
place,0.011167524316481834
certification,0.011105517865830243
committee,0.011096685069578257
party,0.01107822680670756
com,0.01104970984606116
existing,0.011012081698853031
due,0.011005666702365847
responsible,0.010994969248695679
finished,0.010981070267537637
workplace,0.010909483276371418
certified,0.010874678190531409
cases,0.010841402945715114
directives,0.010835732356317325
investments,0.010782255915161163
comprise,0.010736376645073747
shares,0.010734534057445799
labour,0.010683135882784677
provide,0.010639395344032958
paper,0.010591935802899223
term,0.010591830342308352
objective,0.010532283171212064
air,0.010499929700985247
limit,0.010477633520599154
safe,0.010429522993063952
sub,0.0104213951607172
programme,0.010362475795077696
aim,0.010345929289533184
engagement,0.010325062317874245
semi,0.010315701840613603
emphasises,0.010300765846109634
theme,0.01028890478439802
power,0.01028780940115757
plants,0.010266520947732945
relevant,0.010237422166186203
primarily,0.010213296956231282
vendor,0.010212660302532348
prepared,0.010211382554467211
industrial,0.010188878469120805
generally,0.010125661080730182
in,0.010048353093477002
allergy,0.010028416568608957
manufacturing,0.01000568697505816
society,0.009972351688835545
house,0.009908859252357275
launched,0.009904672904749948
voluntary,0.009898797786772225
reduction,0.00984210405854547
rights,0.0098039293325246
however,0.00979430490953634
substances,0.00975831384712608
ensuring,0.009757362484023861
may,0.009756224049583914
reporting,0.00971280685299624
compulsory,0.009711685430096005
among,0.009707605299504849
fund,0.009678932367651856
wind,0.009637758515943983
accounts,0.009612049259305176
gases,0.009576477233139754
integrity,0.009547307315184463
adopted,0.009545501261733771
act,0.009532640413028901
maintain,0.009530898503553023
thus,0.009528153396296323
job,0.00950812076153521
minimising,0.009450182920121659
knowledge,0.009435257704138394
results,0.009401417006951603
involved,0.009396409490267528
about,0.009393200402942541
tor,0.00938794960748778
moreover,0.00937731546049542
january,0.009374627852005084
right,0.009359995717402491
goal,0.009339003455143467
executive,0.009331608642836978
schemes,0.0093053106237196
order,0.009260773781756926
departments,0.009255982672279464
organisation,0.00919899121374075
subject,0.009156534750089214
